,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Lowell HS11MM,697,Lowell HS,11,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Lowell HS12MM,697,Lowell HS,12,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Lowell HS9MS,697,Lowell HS,9,MS,SDC - Extensive Support,7,3,34%,5,72%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,14%,2,100%,6,2,41%,4,64%
,Lowell HS10MS,697,Lowell HS,10,MS,SDC - Extensive Support,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Lowell HS12MS,697,Lowell HS,12,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lowell HS9SA,697,Lowell HS,9,SA,SDC - Extensive Support w Autism Focus,10,5,49%,6,64%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,2,90%,3,100%,7,2,32%,4,50%
,Lowell HS10SA,697,Lowell HS,10,SA,SDC - Extensive Support w Autism Focus,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lowell HS11SA,697,Lowell HS,11,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Lowell HS12SA,697,Lowell HS,12,SA,SDC - Extensive Support w Autism Focus,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%
,Malcolm X Academy ESTKGE,830,Malcolm X Academy ES,TK,GE,General Education,43,32,74%,43,100%,2,2,100%,2,100%,3,2,70%,3,100%,0,0,-,0,-,9,4,43%,9,100%,34,28,82%,34,100%
,Malcolm X Academy ESKGE,830,Malcolm X Academy ES,K,GE,General Education,26,13,50%,26,100%,3,3,100%,3,100%,5,3,62%,5,100%,0,0,-,0,-,13,7,52%,13,100%,12,6,46%,12,100%
,Malcolm X Academy ES1GE,830,Malcolm X Academy ES,1,GE,General Education,1,0,25%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,0%,1,100%
,Malcolm X Academy ES2GE,830,Malcolm X Academy ES,2,GE,General Education,1,1,100%,1,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-
,Malcolm X Academy ES3GE,830,Malcolm X Academy ES,3,GE,General Education,2,1,43%,2,86%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,75%,1,100%,1,0,0%,1,67%
,Malcolm X Academy ES4GE,830,Malcolm X Academy ES,4,GE,General Education,2,1,33%,2,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,1,50%,1,100%,1,0,0%,1,100%
,Malcolm X Academy ES5GE,830,Malcolm X Academy ES,5,GE,General Education,1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%
,Marina MS6AF,708,Marina MS,6,AF,SDC – Mild/Mod Autism Focus,11,5,48%,10,91%,0,0,-,0,-,0,0,-,0,-,3,3,91%,3,100%,3,1,45%,3,91%,6,2,29%,5,88%
,Marina MS7AF,708,Marina MS,7,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,0%
,Marina MS8AF,708,Marina MS,8,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Marina MS6GE,708,Marina MS,6,GE,General Education,532,248,47%,524,98%,25,23,93%,25,100%,0,0,-,0,-,188,143,76%,188,100%,92,39,42%,92,100%,274,81,29%,266,97%
,Marina MS7GE,708,Marina MS,7,GE,General Education,17,12,67%,15,87%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,17%,2,100%,16,11,71%,14,86%
,Marina MS8GE,708,Marina MS,8,GE,General Education,8,5,64%,8,91%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,8,5,61%,7,90%
,Marina MS6MM,708,Marina MS,6,MM,SDC - Mild to Moderate,10,3,26%,10,100%,0,0,100%,0,100%,0,0,-,0,-,1,1,50%,1,100%,3,1,25%,3,100%,6,2,26%,6,100%
,Marina MS7MM,708,Marina MS,7,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Marina MS8MM,708,Marina MS,8,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Marshall (Thurgood) HS13CA,853,Marshall (Thurgood) HS,13,CA,SDC - Transition Program (CAT),4,1,14%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%,2,1,25%,2,100%
,Marshall (Thurgood) HS9ED,853,Marshall (Thurgood) HS,9,ED,SDC - SOAR,2,0,17%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%,1,0,0%,1,67%
,Marshall (Thurgood) HS10ED,853,Marshall (Thurgood) HS,10,ED,SDC - SOAR,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Marshall (Thurgood) HS9GE,853,Marshall (Thurgood) HS,9,GE,General Education,243,84,35%,243,100%,8,4,53%,8,100%,0,0,-,0,-,0,0,-,0,-,73,16,22%,73,100%,161,64,40%,161,100%
,Marshall (Thurgood) HS10GE,853,Marshall (Thurgood) HS,10,GE,General Education,5,2,43%,5,95%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,89%,3,2,50%,3,100%
,Marshall (Thurgood) HS11GE,853,Marshall (Thurgood) HS,11,GE,General Education,2,0,11%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,1,0,0%,1,100%
,Marshall (Thurgood) HS12GE,853,Marshall (Thurgood) HS,12,GE,General Education,2,1,50%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,1,40%,1,100%
,Marshall (Thurgood) HS9MM,853,Marshall (Thurgood) HS,9,MM,SDC - Mild to Moderate,8,2,27%,8,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,4,1,12%,4,100%,3,1,36%,3,100%
,Marshall (Thurgood) HS10MM,853,Marshall (Thurgood) HS,10,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Marshall (Thurgood) HS12MM,853,Marshall (Thurgood) HS,12,MM,SDC - Mild to Moderate,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,0%
,Marshall (Thurgood) HS9NX,853,Marshall (Thurgood) HS,9,NX,Newcomer Program,16,7,42%,16,100%,2,1,83%,2,100%,0,0,-,0,-,0,0,-,0,-,5,2,30%,5,100%,1,1,40%,1,100%
,Marshall (Thurgood) HS10NX,853,Marshall (Thurgood) HS,10,NX,Newcomer Program,1,1,40%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,0,0,0%,0,100%
,Marshall (Thurgood) HS11NX,853,Marshall (Thurgood) HS,11,NX,Newcomer Program,1,0,25%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%
,Marshall (Thurgood) HS12NX,853,Marshall (Thurgood) HS,12,NX,Newcomer Program,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Marshall ESKSE,714,Marshall ES,K,SE,Spanish Immersion (Non-Native),70,17,25%,68,97%,3,3,92%,3,100%,0,0,-,0,-,0,0,-,0,-,22,7,34%,22,100%,45,8,18%,43,96%
,Marshall ES1SE,714,Marshall ES,1,SE,Spanish Immersion (Non-Native),4,2,56%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,3,1,42%,3,100%
,Marshall ESKSN,714,Marshall ES,K,SN,Spanish Immersion (Spanish Speakers),61,20,32%,58,96%,6,6,100%,6,100%,0,0,-,0,-,0,0,-,0,-,28,13,46%,27,97%,27,4,15%,26,94%
,Marshall ES1SN,714,Marshall ES,1,SN,Spanish Immersion (Spanish Speakers),2,0,0%,2,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,1,50%,1,0,0%,1,100%
,Marshall ES2SN,714,Marshall ES,2,SN,Spanish Immersion (Spanish Speakers),3,1,40%,2,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,1,0,50%,1,100%
,Marshall ES3SN,714,Marshall ES,3,SN,Spanish Immersion (Spanish Speakers),5,2,38%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,38%,3,100%,1,1,67%,1,100%
,Marshall ES4SN,714,Marshall ES,4,SN,Spanish Immersion (Spanish Speakers),4,2,47%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,56%,2,100%,1,0,33%,1,100%
,Marshall ES5SN,714,Marshall ES,5,SN,Spanish Immersion (Spanish Speakers),1,0,20%,1,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-
,McCoppin (Frank) ESTKGE,549,McCoppin (Frank) ES,TK,GE,General Education,217,36,17%,132,61%,8,8,100%,8,100%,16,15,92%,16,100%,0,0,-,0,-,10,1,10%,10,100%,187,16,9%,103,55%
,McCoppin (Frank) ESKGE,549,McCoppin (Frank) ES,K,GE,General Education,386,37,10%,315,82%,10,10,100%,10,100%,36,25,69%,34,93%,0,0,-,0,-,12,2,12%,12,100%,332,6,2%,264,80%
,McCoppin (Frank) ES1GE,549,McCoppin (Frank) ES,1,GE,General Education,13,2,13%,11,81%,0,0,-,0,-,1,1,67%,1,67%,0,0,-,0,-,0,0,0%,0,0%,12,1,10%,10,83%
,McCoppin (Frank) ES2GE,549,McCoppin (Frank) ES,2,GE,General Education,11,4,36%,8,74%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,0,0,100%,0,100%,10,3,31%,7,72%
,McCoppin (Frank) ES3GE,549,McCoppin (Frank) ES,3,GE,General Education,13,4,33%,10,76%,0,0,-,0,-,1,0,33%,1,67%,0,0,-,0,-,1,0,33%,0,33%,11,4,33%,9,80%
,McCoppin (Frank) ES4GE,549,McCoppin (Frank) ES,4,GE,General Education,7,3,41%,7,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,25%,1,100%,6,3,42%,6,100%
,McCoppin (Frank) ES5GE,549,McCoppin (Frank) ES,5,GE,General Education,8,3,39%,6,77%,0,0,-,0,-,1,0,33%,1,67%,0,0,-,0,-,1,0,20%,1,60%,6,3,43%,5,83%
,McKinley ESKAF,718,McKinley ES,K,AF,SDC – Mild/Mod Autism Focus,12,2,18%,10,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,5,2,33%,4,89%,8,1,10%,6,74%
,McKinley ES1AF,718,McKinley ES,1,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,1,0,0%,0,0%
,McKinley ES2AF,718,McKinley ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,McKinley ES3AF,718,McKinley ES,3,AF,SDC – Mild/Mod Autism Focus,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%
Opened in 24-25,McKinley ES4AF,718,McKinley ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
Opened in 24-25,McKinley ES5AF,718,McKinley ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,McKinley ESTKGE,718,McKinley ES,TK,GE,General Education,228,22,10%,122,53%,12,11,94%,12,100%,27,9,34%,12,46%,0,0,-,0,-,31,10,32%,31,100%,166,0,0%,74,45%
,McKinley ESKGE,718,McKinley ES,K,GE,General Education,341,36,11%,276,81%,8,7,88%,8,100%,37,27,73%,35,95%,0,0,-,0,-,37,5,14%,37,100%,264,2,1%,201,76%
,McKinley ES1GE,718,McKinley ES,1,GE,General Education,17,4,23%,13,77%,1,1,100%,1,100%,2,1,43%,1,57%,0,0,-,0,-,2,1,33%,2,100%,14,2,17%,10,76%
,McKinley ES2GE,718,McKinley ES,2,GE,General Education,13,4,29%,11,83%,0,0,-,0,-,1,1,80%,1,100%,0,0,-,0,-,1,1,40%,1,100%,11,2,21%,8,79%
,McKinley ES3GE,718,McKinley ES,3,GE,General Education,11,3,30%,9,84%,0,0,-,0,-,1,1,60%,1,60%,0,0,-,0,-,2,0,17%,2,100%,8,2,27%,7,85%
,McKinley ES4GE,718,McKinley ES,4,GE,General Education,8,1,16%,7,81%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,1,0,0%,1,80%,6,1,16%,5,80%
,McKinley ES5GE,718,McKinley ES,5,GE,General Education,10,3,33%,9,90%,0,0,100%,0,100%,1,0,33%,1,67%,0,0,-,0,-,1,0,0%,0,50%,9,3,34%,8,94%
New for 26-27,McLaren (John) EESTKGE481,950,McLaren (John) EES,TK,GE481,Cleveland ES TK Feeder - General Education,64,48,75%,63,98%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,3,0,0%,3,100%,58,46,79%,57,98%
New for 26-27,McLaren (John) EESTKGE513,950,McLaren (John) EES,TK,GE513,Taylor (Edward R) ES TK Feeder - General Education,41,32,78%,41,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,2,1,50%,2,100%,35,28,80%,35,100%
New for 26-27,McLaren (John) EESTKSE618,950,McLaren (John) EES,TK,SE618,Buena Vista Horace Mann K-8 TK Feeder - Spanish Immersion (Non-Native),31,7,23%,31,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,7,0,0%,7,100%,22,6,27%,22,100%
New for 26-27,McLaren (John) EESTKSN618,950,McLaren (John) EES,TK,SN618,Buena Vista Horace Mann K-8 TK Feeder - Spanish Immersion (Spanish Speakers),13,3,23%,13,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,12,2,17%,12,100%
Opened in 25-26,Milk (Harvey) Civil Right ESTKGE,505,Milk (Harvey) Civil Right ES,TK,GE,General Education,189,38,20%,119,63%,5,5,100%,5,100%,31,24,79%,31,100%,0,0,-,0,-,28,7,25%,28,100%,132,7,5%,62,47%
,Milk (Harvey) Civil Right ESKGE,505,Milk (Harvey) Civil Right ES,K,GE,General Education,235,27,11%,187,80%,4,3,81%,4,100%,29,16,57%,26,90%,0,0,-,0,-,27,4,13%,27,100%,180,6,3%,135,75%
,Milk (Harvey) Civil Right ES1GE,505,Milk (Harvey) Civil Right ES,1,GE,General Education,14,3,24%,9,67%,0,0,100%,0,100%,1,1,60%,1,80%,0,0,-,0,-,1,0,0%,1,100%,11,2,20%,7,62%
,Milk (Harvey) Civil Right ES2GE,505,Milk (Harvey) Civil Right ES,2,GE,General Education,7,1,15%,4,52%,0,0,-,0,-,1,0,20%,1,40%,0,0,-,0,-,1,0,50%,1,100%,5,1,10%,3,50%
,Milk (Harvey) Civil Right ES3GE,505,Milk (Harvey) Civil Right ES,3,GE,General Education,8,2,27%,7,87%,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-,1,0,0%,1,100%,7,2,31%,6,88%
,Milk (Harvey) Civil Right ES4GE,505,Milk (Harvey) Civil Right ES,4,GE,General Education,4,1,36%,3,93%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,3,1,38%,3,92%
,Milk (Harvey) Civil Right ES5GE,505,Milk (Harvey) Civil Right ES,5,GE,General Education,5,2,40%,5,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,100%,0,100%,5,2,39%,5,100%
,Miraloma ESKAF,722,Miraloma ES,K,AF,SDC – Mild/Mod Autism Focus,9,3,30%,7,78%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,45%,3,100%,7,2,23%,5,69%
,Miraloma ES1AF,722,Miraloma ES,1,AF,SDC – Mild/Mod Autism Focus,2,0,14%,1,29%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,14%,1,29%
,Miraloma ES2AF,722,Miraloma ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Miraloma ES3AF,722,Miraloma ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Miraloma ES4AF,722,Miraloma ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Miraloma ES5AF,722,Miraloma ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,Miraloma ESTKGE,722,Miraloma ES,TK,GE,General Education,206,32,16%,103,50%,9,8,96%,9,100%,34,21,60%,27,80%,0,0,-,0,-,12,2,17%,12,100%,156,6,4%,60,39%
,Miraloma ESKGE,722,Miraloma ES,K,GE,General Education,398,44,11%,329,83%,16,16,98%,16,100%,49,29,59%,44,90%,0,0,-,0,-,16,2,12%,16,100%,328,9,3%,264,80%
,Miraloma ES1GE,722,Miraloma ES,1,GE,General Education,22,6,25%,15,70%,0,0,-,0,-,2,1,50%,2,75%,0,0,-,0,-,1,1,40%,1,80%,19,4,22%,13,69%
,Miraloma ES2GE,722,Miraloma ES,2,GE,General Education,12,5,37%,9,73%,0,0,100%,0,100%,2,1,56%,2,100%,0,0,-,0,-,0,0,-,0,-,10,3,33%,7,68%
,Miraloma ES3GE,722,Miraloma ES,3,GE,General Education,12,3,27%,9,75%,0,0,-,0,-,1,1,40%,1,100%,0,0,-,0,-,1,0,0%,1,100%,10,3,28%,7,70%
,Miraloma ES4GE,722,Miraloma ES,4,GE,General Education,13,4,29%,11,86%,0,0,100%,0,100%,2,1,43%,2,100%,0,0,-,0,-,1,1,50%,1,100%,10,2,23%,8,82%
,Miraloma ES5GE,722,Miraloma ES,5,GE,General Education,9,6,62%,9,100%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,0,0,0%,0,100%,9,6,65%,9,100%
New for 26-27,Mission Bay ESTKGE,1731,Mission Bay ES,TK,GE,General Education,246,41,17%,121,49%,0,0,-,0,-,102,24,24%,37,36%,0,0,-,0,-,48,19,40%,48,100%,98,0,0%,38,39%
New for 26-27,Mission Bay ESKGE,1731,Mission Bay ES,K,GE,General Education,226,69,31%,195,86%,0,0,-,0,-,117,64,55%,110,94%,0,0,-,0,-,35,5,14%,35,100%,77,0,0%,53,69%
New for 26-27,Mission Bay ESTKMM,1731,Mission Bay ES,TK,MM,SDC - Mild to Moderate,6,4,67%,6,100%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,1,1,100%,1,100%,4,2,50%,4,100%
New for 26-27,Mission Bay ESKMM,1731,Mission Bay ES,K,MM,SDC - Mild to Moderate,6,5,83%,6,100%,0,0,-,0,-,2,2,100%,2,100%,0,0,-,0,-,2,1,50%,2,100%,2,2,100%,2,100%
,Mission Education Center ES2NS,724,Mission Education Center ES,2,NS,Spanish Newcomer,5,1,11%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%,3,1,17%,3,100%
,Mission Education Center ES3NS,724,Mission Education Center ES,3,NS,Spanish Newcomer,4,1,18%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,25%,2,100%,2,0,11%,2,100%
,Mission Education Center ES4NS,724,Mission Education Center ES,4,NS,Spanish Newcomer,9,1,14%,9,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,8%,3,100%,6,1,18%,6,100%
,Mission Education Center ES5NS,724,Mission Education Center ES,5,NS,Spanish Newcomer,5,1,16%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%,2,1,22%,2,100%
New for 26-27,Mission Education Center ESTKSE420,724,Mission Education Center ES,TK,SE420,Alvarado ES TK Feeder - Spanish Immersion (Non-Native),111,8,7%,62,56%,14,8,57%,14,100%,0,0,-,0,-,0,0,-,0,-,17,1,6%,16,94%,79,0,0%,31,39%
New for 26-27,Mission Education Center ESTKSE537,724,Mission Education Center ES,TK,SE537,Huerta (Dolores) ES TK Feeder - Spanish Immersion (Non-Native),78,8,10%,52,67%,7,4,57%,7,100%,0,0,-,0,-,0,0,-,0,-,15,2,13%,15,100%,55,1,2%,29,53%
New for 26-27,Mission Education Center ESTKSE714,724,Mission Education Center ES,TK,SE714,Marshall ES TK Feeder - Spanish Immersion (Non-Native),39,10,26%,39,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,10,0,0%,10,100%,28,10,36%,28,100%
New for 26-27,Mission Education Center ESTKSN420,724,Mission Education Center ES,TK,SN420,Alvarado ES TK Feeder - Spanish Immersion (Spanish Speakers),57,12,21%,32,56%,6,6,100%,6,100%,0,0,-,0,-,0,0,-,0,-,5,1,20%,5,100%,44,3,7%,19,43%
New for 26-27,Mission Education Center ESTKSN537,724,Mission Education Center ES,TK,SN537,Huerta (Dolores) ES TK Feeder - Spanish Immersion (Spanish Speakers),49,12,24%,42,86%,2,0,0%,2,100%,0,0,-,0,-,0,0,-,0,-,6,0,0%,6,100%,39,12,31%,32,82%
New for 26-27,Mission Education Center ESTKSN714,724,Mission Education Center ES,TK,SN714,Marshall ES TK Feeder - Spanish Immersion (Spanish Speakers),26,4,15%,26,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,0,0%,4,100%,22,4,18%,22,100%
,Mission HS13CA,725,Mission HS,13,CA,SDC - Transition Program (CAT),15,4,28%,13,82%,1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,3,1,15%,3,100%,12,3,28%,9,76%
,Mission HS9ED,725,Mission HS,9,ED,SDC - SOAR,5,2,39%,4,94%,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,2,1,38%,2,100%,2,1,33%,2,89%
,Mission HS10ED,725,Mission HS,10,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Mission HS11ED,725,Mission HS,11,ED,SDC - SOAR,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,100%
,Mission HS12ED,725,Mission HS,12,ED,SDC - SOAR,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Mission HS9GE,725,Mission HS,9,GE,General Education,849,282,33%,844,99%,27,21,78%,27,100%,0,0,-,0,-,0,0,-,0,-,220,51,23%,220,100%,600,215,36%,595,99%
,Mission HS10GE,725,Mission HS,10,GE,General Education,21,7,35%,19,88%,1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,3,1,33%,3,100%,17,6,33%,15,86%
,Mission HS11GE,725,Mission HS,11,GE,General Education,16,3,17%,12,76%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,18%,2,64%,13,2,16%,10,78%
,Mission HS12GE,725,Mission HS,12,GE,General Education,8,1,13%,7,88%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,1,40%,1,80%,7,1,7%,6,89%
,Mission HS9MM,725,Mission HS,9,MM,SDC - Mild to Moderate,19,5,23%,19,100%,1,1,75%,1,100%,0,0,-,0,-,0,0,-,0,-,8,2,27%,8,100%,11,2,18%,11,100%
,Mission HS10MM,725,Mission HS,10,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Mission HS11MM,725,Mission HS,11,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Mission HS12MM,725,Mission HS,12,MM,SDC - Mild to Moderate,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-
,Mission HS9MS,725,Mission HS,9,MS,SDC - Extensive Support,3,2,46%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,2,60%,3,100%
,Mission HS10MS,725,Mission HS,10,MS,SDC - Extensive Support,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Mission HS11MS,725,Mission HS,11,MS,SDC - Extensive Support,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,100%,0,100%
,Mission HS12MS,725,Mission HS,12,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Mission HS9NX,725,Mission HS,9,NX,Newcomer Program,37,13,35%,37,100%,6,4,68%,6,100%,0,0,-,0,-,0,0,-,0,-,14,7,46%,14,100%,3,0,8%,3,100%
,Mission HS10NX,725,Mission HS,10,NX,Newcomer Program,2,2,78%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,50%,1,100%
,Mission HS11NX,725,Mission HS,11,NX,Newcomer Program,2,1,25%,2,88%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,0%,1,67%
,Mission HS12NX,725,Mission HS,12,NX,Newcomer Program,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Mission HS9SA,725,Mission HS,9,SA,SDC - Extensive Support w Autism Focus,5,2,45%,5,100%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,14%,2,100%,3,2,67%,3,100%
