"record_type","cds_code","district","school","status","open_date","charter_yesno","educational_program_type","entity_type","low_grade","high_grade","public_yesno","website","latitude","longitude","street_address","street_city","street_state","street_zip","phone","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"School","38,684,786,140,974","San Francisco Unified","Red Bridge","Active","2020/09/02 12:00:00 AM","false","No Data","Elementary School (Private)","K","7","false","https://www.redbridgesf.org/","37.761089","-122.388277","2265 Third St.","San Francisco","CA","94107-3125","(415) 598-9038","POINT (-122.388277 37.761089)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,511","San Francisco Unified","Redding Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.789726","-122.419215","1421 Pine St.","San Francisco","CA","94109-4719","(415) 749-3525","POINT (-122.419215 37.789726)","Nob Hill","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,487","San Francisco Unified","Revere (Paul) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.737142","-122.413174","555 Tompkins Ave.","San Francisco","CA","94110-6144","(415) 695-5656","POINT (-122.413174 37.737142)","Bernal Heights","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,152,532","San Francisco Unified","Rise University Preparatory","Active","2017/02/22 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.riseprep.org","37.738923","-122.382079","1224 Fairfax Ave.","San Francisco","CA","94124-1744","(415) 966-1963","POINT (-122.382079 37.738923)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,089,775","San Francisco Unified","Rooftop Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.754418","-122.443888","443 Burnett Ave.","San Francisco","CA","94131-1330","(415) 695-5692","POINT (-122.443888 37.754418)","Twin Peaks","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,901","San Francisco Unified","Roosevelt Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.782249","-122.458952","460 Arguello Blvd.","San Francisco","CA","94118-2505","(415) 750-8446","POINT (-122.458952 37.782249)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,119,875","San Francisco Unified","S.F. International High","Active","2009/08/24 12:00:00 AM","false","Alternative School of Choice","Alternative Schools of Choice","8","12","true","www.sfusd.edu","37.761720","-122.400623","655 DeHaro St.","San Francisco","CA","94107-2727","(415) 695-5781","POINT (-122.400623 37.76172)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,748","San Francisco Unified","Sacred Heart Cathedral Preparatory","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.shcp.edu","37.783524","-122.423457","1055 Ellis St.","San Francisco","CA","94109-7716","(415) 775-6626","POINT (-122.423457 37.783524)","Western Addition","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,682","San Francisco Unified","Saint Brigid Academy","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.saintbrigidsf.org/","37.795337","-122.424826","2250 Franklin St.","San Francisco","CA","94109-2428","(415) 673-4523","POINT (-122.424826 37.795337)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,585","San Francisco Unified","Saint Monica School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stmonicasf.org","37.780236","-122.483524","5950 Geary Blvd.","San Francisco","CA","94121-2007","(415) 751-9564","POINT (-122.483524 37.780236)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,718","San Francisco Unified","San Francisco Adventist School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.sfasonline.org/","37.722215","-122.450839","66 Geneva Ave.","San Francisco","CA","94112-2304","(415) 585-5550","POINT (-122.450839 37.722215)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,692","San Francisco Unified","San Francisco Christian School","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","www.sfchristianschool.org","37.710037","-122.447754","25 Whittier St.","San Francisco","CA","94112-4213","(415) 586-1117","POINT (-122.447754 37.710037)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,787,095,755","San Francisco Unified","San Francisco City Academy","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","5","false","sfcityacademy.com","37.783496","-122.412406","230 Jones St.","San Francisco","CA","94102-2662","(415) 813-6259","POINT (-122.412406 37.783496)","Tenderloin","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,093,488","San Francisco Unified","San Francisco Community Alternative","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.725815","-122.432624","125 Excelsior Ave.","San Francisco","CA","94112-2041","(415) 469-4739","POINT (-122.432624 37.725815)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,915,748","San Francisco Unified","San Francisco Day School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.sfday.org","37.777894","-122.446137","2160 Golden Gate Ave","San Francisco","CA","94118","(415) 931-2422","POINT (-122.446137 37.777894)","Lone Mountain/USF","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,204,762","San Francisco Unified","San Francisco Friends School","Active","2004/08/12 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","sffriendsschool.org","37.768979","-122.422908","250 Valencia St.","San Francisco","CA","94103-2322","(415) 565-0400","POINT (-122.422908 37.768979)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,139,463","San Francisco Unified","San Francisco High School of the Arts","Active","2011/03/21 12:00:00 AM","false","No Data","K-12 Schools (Private)","5","12","false","https://www.highschoolofthearts.org/","37.770342","-122.452939","1950 Page St.","San Francisco","CA","94117-1804","(415) 431-3161","POINT (-122.452939 37.770342)","Haight Ashbury","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,158,539","San Francisco Unified","San Francisco Islamic School","Active","2019/06/27 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.sfislamicschool.org","37.713750","-122.454287","55 Farallones Ave","San Francisco","CA","94112-3005","(415) 310-7003","POINT (-122.454287 37.71375)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,146,054","San Francisco Unified","San Francisco Pacific Academy","Active","2013/12/14 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://sfpacificacademy.org/","37.775640","-122.494287","3301 Balboa St.","San Francisco","CA","94121-2703","(415) 800-0730","POINT (-122.494287 37.77564)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,123,117","San Francisco Unified","San Francisco Public Montessori","Active","2010/08/16 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","www.sfpublicmontessori.com","37.792616","-122.433547","2340 Jackson St.","San Francisco","CA","94115-1323","(415) 749-3544","POINT (-122.433547 37.792616)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,726","San Francisco Unified","San Francisco School, The","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.sfschool.org","37.732780","-122.411698","300 Gaven St.","San Francisco","CA","94134-1113","(415) 239-5065","POINT (-122.411698 37.73278)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,143,952","San Francisco Unified","San Francisco Schoolhouse","Active","2012/12/27 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","Sfschoolhouse.org","37.774870","-122.430191","735 Fell St.","San Francisco","CA","94117-2608","(415) 966-2252","POINT (-122.430191 37.77487)","Hayes Valley","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,698","San Francisco Unified","San Francisco University High School","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","sfuhs.org","37.790956","-122.445353","3065 Jackson St","San Francisco","CA","94115-1022","(415) 447-3122","POINT (-122.445353 37.790956)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,907,927","San Francisco Unified","San Francisco Waldorf School","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","www.sfwaldorf.org","37.790920","-122.441910","2938 Washington St","San Francisco","CA","94115-1727","(415) 931-2750","POINT (-122.44191 37.79092)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,481","San Francisco Unified","San Miguel Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.721211","-122.444754","300 Seneca Ave.","San Francisco","CA","94112-3248","(415) 469-4756","POINT (-122.444754 37.721211)","Outer Mission","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,545","San Francisco Unified","Sanchez Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.763967","-122.430768","325 Sanchez St.","San Francisco","CA","94114-1615","(415) 241-6380","POINT (-122.430768 37.763967)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,734","San Francisco Unified","School of the Epiphany","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","sfepiphany.org","37.716192","-122.434907","600 Italy Ave.","San Francisco","CA","94112-3519","(415) 337-4030","POINT (-122.434907 37.716192)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,289","San Francisco Unified","Serra (Junipero) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.736733","-122.421137","625 Holly Park Cir.","San Francisco","CA","94110-5815","(415) 695-5685","POINT (-122.421137 37.736733)","Bernal Heights","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,560","San Francisco Unified","Sheridan Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.714331","-122.459134","431 Capitol Ave.","San Francisco","CA","94112-2934","(415) 469-4743","POINT (-122.459134 37.714331)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,578","San Francisco Unified","Sherman Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.798273","-122.426203","1651 Union St.","San Francisco","CA","94123-4506","(415) 749-3530","POINT (-122.426203 37.798273)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,851","San Francisco Unified","Sloat (Commodore) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.731881","-122.470965","50 Darien Way","San Francisco","CA","94127-1902","(415) 759-2807","POINT (-122.470965 37.731881)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,594","San Francisco Unified","Spring Valley Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.794403","-122.418992","1451 Jackson St.","San Francisco","CA","94109-3115","(415) 749-3535","POINT (-122.418992 37.794403)","Russian Hill","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,773","San Francisco Unified","St James School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.saintjames.org","37.751345","-122.423676","321 Fair Oaks St.","San Francisco","CA","94110-3616","(415) 647-8972","POINT (-122.423676 37.751345)","Mission","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,658","San Francisco Unified","St. Anne School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stanne.com","37.763304","-122.471509","1320 14th Ave.","San Francisco","CA","94122-2104","(415) 664-7977","POINT (-122.471509 37.763304)","Inner Sunset","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,666","San Francisco Unified","St. Anthony–Immaculate Conception","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.saicsf.org","37.747329","-122.413856","299 Precita Ave.","San Francisco","CA","94110-4627","(415) 648-2008","POINT (-122.413856 37.747329)","Bernal Heights","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,674","San Francisco Unified","St. Brendan Elementary","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","stbrendansf.com","37.742801","-122.456493","940 Laguna Honda Blvd.","San Francisco","CA","94127-1239","(415) 731-2665","POINT (-122.456493 37.742801)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,690","San Francisco Unified","St. Cecilia Elementary","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stceciliaschool.org","37.739403","-122.473942","660 Vicente St.","San Francisco","CA","94116-3077","(415) 731-8400","POINT (-122.473942 37.739403)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,740","San Francisco Unified","St. Finn Barr Catholic School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stfinnbarr.org","37.730349","-122.447365","419 Hearst Ave.","San Francisco","CA","94112-1350","(415) 333-1800","POINT (-122.447365 37.730349)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,765","San Francisco Unified","St. Gabriel Elementary School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","9","false","stgabrielsf.com","37.739373","-122.498992","2550 41st Ave.","San Francisco","CA","94116-2708","(415) 566-0314","POINT (-122.498992 37.739373)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,722","San Francisco Unified","St. Ignatius College Preparatory","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","6","12","false","www.siprep.org","37.748400","-122.495771","2001 37th Ave.","San Francisco","CA","94116-1165","(415) 731-7500","POINT (-122.495771 37.7484)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,139,893","San Francisco Unified","St. John the Evangelist","Active","2011/03/21 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://stjohnseagles.com/","37.735227","-122.437712","925 Chenery St.","San Francisco","CA","94131-2962","(415) 584-8383","POINT (-122.437712 37.735227)","Glen Park","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,601","San Francisco Unified","St. Paul's","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stpaulschoolsf.org","37.744051","-122.426868","1690 Church St.","San Francisco","CA","94131-2453","(415) 648-2055","POINT (-122.426868 37.744051)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,619","San Francisco Unified","St. Peter's School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stpeterssf.org","37.751672","-122.409996","1266 Florida St.","San Francisco","CA","94110-4113","(415) 647-8662","POINT (-122.409996 37.751672)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,627","San Francisco Unified","St. Philip School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.saintphilipschool.org","37.751866","-122.436301","665 Elizabeth St.","San Francisco","CA","94114-3229","(415) 824-8467","POINT (-122.436301 37.751866)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,643","San Francisco Unified","St. Stephen School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","http://www.ststephenschoolsf.org/","37.730674","-122.475280","401 Eucalyptus Dr.","San Francisco","CA","94132-1528","(415) 664-8331","POINT (-122.47528 37.730674)","Lakeshore","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,650","San Francisco Unified","St. Thomas More","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.stthomasmoreschool.org","37.712255","-122.473044","50 Thomas More Way","San Francisco","CA","94132-2911","(415) 337-0100","POINT (-122.473044 37.712255)","Lakeshore","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,676","San Francisco Unified","St. Vincent de Paul School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","svdpsf.com","37.796274","-122.437744","2350 Green St.","San Francisco","CA","94123-4625","(415) 346-5505","POINT (-122.437744 37.796274)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,162,598","San Francisco Unified","Stella Maris Academy","Active","2021/11/16 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.stellamarissf.org","37.781586","-122.467362","360 9Th Ave","San Francisco","CA","94118-2211","(628) 977-4836","POINT (-122.467362 37.781586)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,999,379","San Francisco Unified","Sterne School","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","4","12","false","www.sterneschool.org","37.795892","-122.404864","838 Kearny St.","San Francisco","CA","94108-1304","(415) 922-6081","POINT (-122.404864 37.795892)","Chinatown","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,529","San Francisco Unified","Stevenson (Robert Louis) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.748857","-122.492300","2051 34th Ave.","San Francisco","CA","94116-1109","(415) 759-2837","POINT (-122.4923 37.748857)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,465","San Francisco Unified","Stockton (Commodore) Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.795046","-122.408832","1 Trenton St.","San Francisco","CA","94108-1112","(415) 291-7932","POINT (-122.408832 37.795046)","Chinatown","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,159,156","San Francisco Unified","Stratford School","Active","2019/10/14 12:00:00 AM","false","No Data","Elementary School (Private)","K","5","false","www.stratfordschools.com","37.776134","-122.472818","645 14th Ave.","San Francisco","CA","94118-3502","(415) 742-4254","POINT (-122.472818 37.776134)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,135,651","San Francisco Unified","Stratford School","Active","2009/04/28 12:00:00 AM","false","No Data","Kindergartens (Private)","K","5","false","www.stratfordschools.com","37.723337","-122.461497","301 De Montfort Ave.","San Francisco","CA","94112-1733","(415) 333-3134","POINT (-122.461497 37.723337)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,156,640","San Francisco Unified","Stratford School San Francisco","Active","2018/10/18 12:00:00 AM","false","No Data","Elementary School (Private)","6","8","false","stratfordschools.com","37.727161","-122.434847","75 Francis St.","San Francisco","CA","94112-1924","(415) 715-8648","POINT (-122.434847 37.727161)","Outer Mission","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,684","San Francisco Unified","Sts. Peter and Paul Elementary","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.sspeterpaulsf.org","37.801350","-122.410360","660 Filbert St.","San Francisco","CA","94133-2805","(415) 421-5219","POINT (-122.41036 37.80135)","North Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,610","San Francisco Unified","Sunnyside Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","https://www.sunnysidesf.org/","37.730307","-122.448794","250 Foerster St.","San Francisco","CA","94112-1341","(415) 469-4746","POINT (-122.448794 37.730307)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,113,997","San Francisco Unified","Sunset Elementary","Active","1996/08/28 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.750743","-122.499799","1920 41st Ave.","San Francisco","CA","94116-1101","(415) 759-2760","POINT (-122.499799 37.750743)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,644","San Francisco Unified","Sutro Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.783932","-122.471025","235 12th Ave.","San Francisco","CA","94118-2103","(415) 750-8525","POINT (-122.471025 37.783932)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,905,913","San Francisco Unified","Synergy School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.synergyschool.org","37.750938","-122.420143","1387 Valencia St.","San Francisco","CA","94110-3714","(415) 567-6177","POINT (-122.420143 37.750938)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,943","San Francisco Unified","Taylor (Edward R.) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.728000","-122.407332","423 Burrows St.","San Francisco","CA","94134-1449","(415) 330-1530","POINT (-122.407332 37.728)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,161,921","San Francisco Unified","TCS","Active","2021/10/04 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","tcsglobal.org","37.789971","-122.400884","548 Market St., No 41193","San Francisco","CA","94104","(415) 938-4934","POINT (-122.400884 37.789971)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,115,901","San Francisco Unified","Tenderloin Community","Active","1998/08/25 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.782061","-122.419799","627 Turk St.","San Francisco","CA","94102-3212","(415) 749-3567","POINT (-122.419799 37.782061)","Tenderloin","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,169,163","San Francisco Unified","Terra San Francisco School","Active","2024/01/22 12:00:00 AM","false","No Data","Kindergartens (Private)","K","3","false","https://www.terraschools.org/","37.775338","-122.499658","3801 Balboa St.","San Francisco","CA","94121-2512","(415) 906-2220","POINT (-122.499658 37.775338)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,138,176","San Francisco Unified","The Bay School of San Francisco","Active","2009/04/28 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","bayschoolsf.org","37.800780","-122.455646","35 Keyes Ave","San Francisco","CA","94129-1736","(415) 561-5800","POINT (-122.455646 37.80078)","Presidio","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,152,565","San Francisco Unified","The Brandeis School of San Francisco","Active","2017/02/27 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.sfbrandeis.org","37.713285","-122.475599","655 Brotherhood Way","San Francisco","CA","94132-2901","(415) 406-1035","POINT (-122.475599 37.713285)","Lakeshore","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,168,728","San Francisco Unified","The Dahlia School of San Francisco Elementary","Active","2023/10/26 12:00:00 AM","false","No Data","Elementary School (Private)","K","6","false","www.thedahliaschoolsf.org","37.772413","-122.391205","1245 4Th St.","San Francisco","CA","94158-2249","(415) 425-3073","POINT (-122.391205 37.772413)","Mission Bay","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,997,829","San Francisco Unified","The Hamlin School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.hamlin.org/","37.794904","-122.432524","2120 BRd.way St.","San Francisco","CA","94115","(415) 922-0300","POINT (-122.432524 37.794904)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,195","San Francisco Unified","The International School of San Francisco","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","https://www.internationalsf.org/","37.775341","-122.421751","150 Oak St.","San Francisco","CA","94102-5912","(415) 558-2000","POINT (-122.421751 37.775341)","Hayes Valley","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,989","San Francisco Unified","The Neos Bayview Academy","Active","2024/10/22 12:00:00 AM","false","No Data","Elementary School (Private)","K","5","false","neoskids.org","37.717953","-122.387036","950 Gilman Ave.","San Francisco","CA","94124-3709","(415) 336-0200","POINT (-122.387036 37.717953)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,935","San Francisco Unified","Thomas Edison Charter Academy","Active","1998/08/25 12:00:00 AM","true","Traditional","Elementary Schools (Public)","K","8","true","www.teca-sf.org","37.754937","-122.426202","3531 22nd St.","San Francisco","CA","94114-3405","(415) 970-3330","POINT (-122.426202 37.754937)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,833","San Francisco Unified","Town School for Boys","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.townschool.com","37.791895","-122.440117","2750 Jackson St.","San Francisco","CA","94115-1144","(415) 921-3747","POINT (-122.440117 37.791895)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,523","San Francisco Unified","Tule Elk Park Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.799407","-122.434534","2110 Greenwich St.","San Francisco","CA","94123-3405","(415) 749-3551","POINT (-122.434534 37.799407)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,685","San Francisco Unified","Ulloa Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.737302","-122.499954","2650 42nd Ave.","San Francisco","CA","94116-2714","(415) 759-2841","POINT (-122.499954 37.737302)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
